genotypes,sitio,anio,EX,PM,NS,IK,FR,VIS,PD,BG,ATL,amb,M_1120797,M_1120159,M_1111453,M_1120252,M_1121190,M_1120529,M_1121398,M_1121027,M_1120976,M_1110112,M_1110886,M_1120595,M_1120172,M_1120742,M_1110565,M_1120794,M_1120455,M_1120968,M_1120607,M_1110672,M_1120410,M_1110081,M_1110710,M_1110825,M_1110863,M_1120193,M_1121145,M_1120647,M_1121533,M_1111002,M_1110601,M_1121101,M_1121197,M_1111313,M_1111258,M_1111086,M_1110137,M_1111501,M_1120970,M_1110328,M_1120333,M_1120428,M_1120439,M_1120796,M_1120856,M_1121062,M_1121435,M_1111283,M_1120002,M_1120288,M_1110926,M_1110620,M_1110925,M_1111530,M_1120801,M_1110966,M_1111125,M_1120486,M_1120583,M_1121472,M_1110011,M_1111124,M_1110008,M_1110456,M_1121147,M_1111337,M_1110225,M_1111401,M_1111016,M_1120276,M_1110158,M_1110373,M_1110653,M_1121511,M_1110728,M_1121120,M_1111191,M_1110281,M_1120704,M_1110335,M_1111391,M_1121502,M_1110839,M_1121305,M_1120931,M_1111394,M_1110172,M_1120017,M_1111314,M_1120273,M_1120877,M_1111241,M_1120694,M_1110350,M_1120566,M_1120695,M_1120778,M_1110683,M_1110047,M_1120362,M_1120597,M_1120115,M_1121358,M_1120093,M_1120063,M_1121348,M_1110628,M_1121294,M_1120659,M_1111021,M_1110747,M_1120999,M_1121438,M_1120130,M_1110515,M_1110184,M_1121381,M_1121517,M_1120009,M_1121513,M_1121212,M_1120023,M_1121161,M_1111503,M_1110312,M_1121277,M_1120523,M_1110753,M_1120168,M_1120944,M_1110918,M_1121405,M_1110754,M_1110821,M_1111172,M_1110867,M_1120650,M_1110280,M_1120343,M_1111196,M_1111141,M_1120662,M_1120612,M_1110381,M_1111127,M_1121428,M_1120085,M_1120920,M_1121427,M_1110631,M_1121266,M_1121272,M_1111436,M_1110702,M_1110646,M_1121008,M_1120605,M_1110681,M_1111410,M_1121267,M_1110694,M_1111516,M_1110343,M_1110283,M_1121362
Beka,EEMAC,2007,79.6,10.9,692,40,65,1.5,348,353,-,EEMAC _ 2007,AB,AB,AB,AA,AB,AA,AB,AA,AB,AA,AA,AA,AA,AA,AB,AB,AA,AA,AA,AA,AA,AB,AA,AB,AB,AB,AB,AB,AB,AB,AA,AB,AA,AB,AB,AB,AA,AA,AA,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AA,AA,AB,AA,AB,AB,AA,AB,AA,AA,AA,AB,AB,AB,AA,AB,AB,AB,AB,AA,AA,AA,AA,AB,AA,AB,AB,AB,AA,AB,AA,AA,AA,AA,AB,AB,AB,AA,AA,AB,AB,AB,AA,AA,AB,AA,AA,AB,AB,AA,AA,AA,AA,AB,AB,AB,AB,AA,AB,AA,AB,AA,AB,AB,AB,AB,AB,AA,AA,AA,AB,AA,AA,AA,AB,AA,AB,AB,AA,AA,AB,AA,AA,AA,AA,AB,AB
Diamant,EEMAC,2007,79.6,10.7,601,35,68,1.54,292,455,-,EEMAC _ 2007,AB,AA,AA,AB,AA,AB,AB,AB,AB,AA,AB,AB,AB,AB,AA,AB,AA,AA,AB,AA,AA,AB,AA,AB,AB,AA,AB,AB,AB,AB,AA,AB,AA,AB,AB,AB,AA,AA,AA,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AA,AA,AB,AA,AB,AB,AA,AB,AA,AA,AA,AB,AB,AB,AA,AB,AB,AB,AB,AA,AA,AA,AA,AB,AA,AB,AB,AB,AA,AB,AA,AA,AA,AA,AB,AB,AB,AA,AA,AB,AA,AB,AA,AA,AB,AA,AA,AB,AB,AA,AB,AA,AB,AA,AA,AA,AA,AA,AB,AA,AB,AA,AB,AB,AA,AA,AA,AB,AB,AB,AA,AB,AB,AA,AB,AA,AA,AA,AA,AA,AB,AB,AB,AB,AA,AB,AB
Pirolin,EEMAC,2007,75.5,13.9,717,32,48,1.52,457,565,-,EEMAC _ 2007,AB,AB,AB,AA,AB,AA,AB,AA,AB,AA,AA,AA,AA,AA,AB,AB,AA,AA,AA,AB,AA,AA,AB,AB,AB,AA,AB,AB,AB,AB,AA,AB,AB,AA,AB,AA,AB,AB,AB,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AA,AA,AB,AB,AA,AB,AB,AB,AB,AB,AA,AB,AB,AA,AB,AA,AA,AA,AB,AA,AA,AB,AA,AB,AB,AB,AB,AA,AA,AA,AA,AB,AA,AB,AA,AB,AB,AA,AB,AB,AB,AA,AB,AB,AB,AA,AA,AB,AB,AA,AB,AB,AA,AB,AB,AA,AA,AB,AB,AB,AA,AA,AA,AA,AB,AB,AB,AB,AA,AB,AA,AA,AB,AB,AB,AA,AA,AB,AB,AB,AA,AB,AB,AB,AB,AB,AA,AA,AB,AA,AB,AA,AA,AA,AB
C9035,EEMAC,2007,78.4,13.1,627,30,42,1.57,380,770,-,EEMAC _ 2007,AB,AB,AB,AA,AB,AB,AB,AA,AB,AA,AA,AA,AA,AA,AA,AB,AA,AA,AB,AB,AA,AA,AB,AB,AB,AA,AB,AB,AB,AB,AA,AB,AA,AB,AB,AB,AA,AA,AA,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AB,AA,AA,AB,AB,AA,AA,AB,AB,AA,AB,AA,AB,AA,AA,AA,AA,AB,AB,AA,AA,AA,AB,AB,AB,AB,AA,AA,AB,AA,AA,AA,AB,AA,AB,AB,AA,AB,AA,AB,AB,AB,AA,AB,AB,AB,AA,AA,AB,AB,AB,AB,AB,AA,AB,AB,AA,AA,AB,AB,AB,AA,AA,AA,AA,AB,AA,AB,AB,AA,AA,AA,AA,AB,AB,AB,AA,AA,AB,AA,AA,AA,AA,AB,AB,AB,AB,AA,AA,AB,AA,AB,AA,AA,AA,AB
C9038,EEMAC,2007,76.8,14.1,645,29,27,1.53,395,732,-,EEMAC _ 2007,AA,AA,AA,AB,AA,AB,AB,AB,AB,AA,AB,AA,AA,AB,AA,AA,AA,-,AA,AA,AB,AB,AA,AA,AA,AB,AB,AB,AB,AB,AA,AB,AA,AB,AB,AB,AA,AA,AA,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AA,AA,AB,AA,AB,AA,AA,AA,AB,AB,AA,AA,AA,AB,AB,AB,AB,AA,AA,AB,AA,AA,AA,AB,AA,AB,AB,AA,AB,AA,AB,AB,AB,AA,AB,AB,AB,AA,AA,AB,AB,AA,AB,AB,AA,AB,AB,AA,AA,AB,AB,AB,AA,AA,AA,AA,AB,AB,AB,AB,AA,AB,AA,AA,AA,AA,AA,AB,AB,AB,AA,AA,AA,AA,AB,AA,AA,AB,AB,AB,AB,AB,AA,AA,AA,AB,AB
MaltHed,EEMAC,2007,77,14.1,844,38,45,1.53,456,363,-,EEMAC _ 2007,AB,AB,AB,AA,AB,AA,AB,AA,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AA,AA,AB,AB,AB,AB,AB,AB,AA,AB,AA,AB,AB,AB,AA,AA,AA,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AA,AA,AB,AA,AB,AB,AA,AB,AA,AA,AB,AB,AB,AB,AA,AB,AB,AB,AB,AA,AA,AA,AA,AB,AA,AA,AB,AA,AA,AA,AB,AB,AB,AA,AB,AB,AB,AA,AA,AB,AA,AB,AA,AA,AB,AA,AA,AB,AB,AB,AB,AA,AB,AA,AA,AB,AA,AA,AB,AA,AB,AA,AB,AB,AA,AA,AA,AB,AB,AB,AA,AA,AA,AA,AB,AA,AA,AA,AB,AA,AB,AA,AB,AA,AA,AB,AB
Harring,EEMAC,2007,79.3,12.6,932,46,67,1.5,468,149,-,EEMAC _ 2007,AB,AB,AB,AA,AB,AA,AB,AA,AB,AA,AA,AA,AA,AB,AA,AA,AA,AB,AA,AA,AB,AB,AA,AA,AA,AB,AB,AB,AB,AB,AA,AB,AA,AB,AB,AB,AA,AA,AA,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AA,AA,AB,AA,AB,AB,AA,AB,AA,AA,AB,AB,AB,AB,AA,AB,AB,AB,AB,AA,AA,AA,AA,AB,AA,AB,AB,AB,AA,AB,AA,AB,AB,AA,AB,AB,AB,AA,AA,AB,AB,AB,AA,AA,AB,AA,AA,AB,AB,AA,AA,AA,AA,AB,AB,AB,AB,AA,AB,AA,AB,AA,AB,AB,AA,AA,AA,AB,AB,AB,AA,AA,AA,AA,AB,AA,AA,AB,AA,AB,AA,AB,AB,AA,AB,AB,AB
Volla,EEMAC,2007,77,13.7,695,32,41,1.52,325,498,-,EEMAC _ 2007,AB,AB,AB,AA,AB,AA,AB,AA,AB,AA,AA,AA,AA,AA,AA,AB,AA,AA,AB,AB,AA,AA,AB,AB,AB,AA,AB,AB,AB,AB,AA,AB,AB,AA,AB,AA,AB,AB,AB,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AA,AA,AB,AB,AA,AB,AB,AB,AB,AB,AA,AB,AB,AA,AB,AA,AB,AB,AA,AA,AA,AB,AB,AB,AB,AA,AA,AB,AA,AA,AA,AB,AA,AB,AB,AA,AB,AA,AB,AB,AB,AA,AB,AB,AA,AA,AA,AB,AA,AB,AA,AA,AB,AA,AA,AB,AB,AB,AB,AA,AA,AB,AB,AB,AB,AA,AB,AA,AB,AA,AB,AB,AB,AA,AA,AB,AB,AB,AA,AA,AA,AA,AB,AA,-,AB,AA,AA,AB,AA,AB,AA,AA,AB,AB
BCD47,EEMAC,2007,79.7,13.4,937,44,54,1.54,480,337,-,EEMAC _ 2007,AB,AB,AB,AA,AB,AA,AB,AA,AB,-,AA,AA,AA,AB,AA,AA,AA,AA,AA,AB,AA,AA,AB,AB,AA,AB,AB,AB,AB,AB,AA,AB,AA,AB,AB,AB,AA,AA,AA,AB,-,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,-,AA,AA,AB,AB,AB,AB,AB,AB,AB,AA,AA,AA,AA,AB,AB,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AA,AA,AA,AA,AB,AB,AA,AB,AA,AB,AB,AB,AB,AB,AA,AB,AB,AA,AA,AA,AB,AA,AB,AA,AA,AB,AA,AA,AB,AB,AA,AB,AA,AB,AA,AA,AA,AA,AA,AB,AA,-,AA,AB,AB,AA,AA,AA,AB,AB,-,AA,AB,AB,AA,AB,AA,AA,AB,AA,AB,AA,AB,AB,AA,AB,AB,AB
Bido,EEMAC,2007,78.2,12.1,734,38,64,1.56,373,514,-,EEMAC _ 2007,AB,AB,AB,AA,AB,AA,AB,AA,AB,AA,AA,AA,AA,AB,AA,AB,AA,AA,AB,AA,AB,AB,AA,AA,AA,AB,AB,AB,AB,AB,AA,AB,AA,AB,AB,AB,AA,AA,AA,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AA,AA,AB,AA,AB,AB,AA,AB,AA,AA,AA,AA,AA,AB,AB,AB,AB,AA,AA,AB,AA,AA,AA,AB,AA,AB,AB,AA,AB,AA,AB,AB,AB,AA,AB,AB,AB,AA,AA,AB,AB,AB,AA,AA,AB,AB,AA,AB,AB,AB,AB,AA,AA,AB,AA,AA,AA,AA,AB,AA,AB,AA,AB,AB,AB,AA,AA,AB,AB,AB,AA,AA,AA,AA,AB,AA,AB,AB,AA,AA,AB,AA,AB,AA,AA,AB,AB
C9315,EEMAC,2007,77.2,12.5,578,29,25,1.66,400,858,-,EEMAC _ 2007,AB,AB,AA,AB,AA,AB,AB,AA,AA,AB,AA,AA,AA,AB,AA,AB,AA,AA,AB,AA,AB,AB,AA,AA,AA,AB,AB,AB,AB,AB,AA,AB,AA,AB,AB,AB,AA,AA,AA,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AA,AA,AB,AA,AB,AB,AA,AB,AA,AA,AB,AB,AB,AB,AA,AB,AB,AB,AB,AA,AA,AA,AA,AB,AA,AB,AB,AA,AA,AA,AB,AB,AB,AA,AB,AB,AB,AA,AA,AB,AB,AA,AB,AB,AA,AB,AB,AA,AA,AB,AB,AB,AA,AA,AA,AA,AB,AB,AB,AB,AA,AB,AA,AA,AA,AA,AA,AB,AB,AB,AA,AA,AA,AA,AB,AA,AA,AB,AB,AB,AB,AB,AA,AA,AA,AB,AB
Karl,EEMAC,2007,83,9.5,742,49,74,1.56,388,403,-,EEMAC _ 2007,AA,AA,AA,AB,AA,AB,AB,AB,AB,AA,AA,AA,AA,AB,AA,AB,AA,AA,AA,AB,AA,AA,AB,AB,AB,AB,AA,AA,AB,AB,AA,AB,AA,AB,AB,AB,AA,AA,AA,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AA,AB,AB,AB,AA,AB,AB,AA,AB,AA,AA,AA,AB,AA,AA,AB,AB,AB,AB,AA,AA,AB,AA,AA,AA,AB,AB,AA,AA,AB,AA,AB,AA,AA,AA,AA,AB,AB,AB,AA,AA,AB,AB,AB,AA,AA,AB,AA,AA,AB,AB,AA,AA,AA,AB,AA,AA,AA,AA,AA,AB,AA,AB,AA,AB,AB,AB,AA,AA,AB,AB,AA,AB,AA,AA,AB,AB,AA,AB,AB,AA,AA,AB,AA,AB,AA,AA,AB,AB
C9053,EEMAC,2007,79.6,14.3,968,43,59,1.56,326,401,-,EEMAC _ 2007,AB,AB,AB,AA,AB,AA,AB,AA,AB,AA,AA,AA,AA,AA,AA,AB,AA,AA,AB,AA,AB,AB,AA,AA,AA,AB,AB,AB,AB,AB,AA,AB,AA,AB,AB,AB,AA,AA,AA,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AB,AA,AA,AB,AB,AA,AB,AB,AB,AB,AB,AA,AB,AB,AA,AB,AA,AB,AB,AA,AA,AA,AB,AB,AB,AB,AA,AA,AB,AA,AA,AA,AB,AA,AB,AA,AB,AB,AA,AB,AB,AB,AA,AB,AB,AA,AA,AA,AB,AB,AA,AB,AB,AA,AA,AA,AB,AB,AB,AB,AB,AA,AA,AA,AA,AB,AB,AB,AB,AA,AB,AA,AA,AB,AA,AA,AB,AB,AB,AA,AB,AA,AB,AA,AB,AB,AB,AA,AB,AA,AA,AA,AB,AA,AB,AB
C8730,EEMAC,2007,78.8,13.9,846,39,53,1.56,390,542,-,EEMAC _ 2007,AB,AB,AB,AA,AB,AA,AB,AA,AB,AB,AB,AB,AB,AB,AA,AA,AA,AB,AB,AA,AB,AB,AA,AA,AA,AB,AB,AB,AB,AB,AA,AB,AA,AB,AB,AB,AA,AA,AA,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AB,AA,AA,AB,AB,AA,AB,AB,AB,AA,AA,AB,AA,AB,AA,AA,AA,AB,AB,AA,AA,AA,AB,AB,AB,AB,AB,AB,AA,AA,AA,AA,AB,AA,AB,AB,AB,AA,AA,AB,AB,AB,AA,AB,AB,AB,AA,AA,AA,AB,AA,AB,AB,AA,AB,AB,AA,AA,AB,AB,AB,AA,AA,AA,AA,AB,AA,AB,AB,AA,AA,AA,AA,AB,AB,AB,AA,AA,AB,AB,AB,AA,AB,AB,AB,AB,AB,AA,AA,AB,AA,AB,AA,AA,AA,AB
Mn610,EEMAC,2007,80,14.1,1050,47,69,1.52,355,199,-,EEMAC _ 2007,AB,AB,AA,AB,AA,AB,AB,AA,AA,AB,AB,AA,AA,AB,AA,AB,AA,AA,AB,AB,AA,AA,AB,AB,AA,AA,AA,AA,AB,AB,AB,AA,AB,AB,AA,AB,AA,AA,AA,AB,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AA,AB,AB,AB,AA,AA,AB,AB,AA,AA,AB,AB,AA,AB,AA,AB,AA,AA,AA,AA,AB,AB,AA,AA,AA,AB,AB,AB,AB,AA,AA,AB,AA,AA,AA,AB,AA,AB,AB,AA,AB,AA,AB,AB,AB,AA,AB,AB,AA,AA,AA,AB,AB,AA,AB,AB,AA,AB,AB,AA,AA,AB,AB,AB,AA,AA,AA,AA,AB,AB,AB,AB,AA,AB,AA,AA,AB,AA,AA,AB,AB,AB,AA,AB,AA,AB,AA,AB,AB,AB,AA,AA,AA,AA,AB,AB,AB,AA,AB
QAyelen,EEMAC,2007,78.9,12.4,729,37,54,1.54,322,636,-,EEMAC _ 2007,AB,AB,AB,AA,AB,AA,AB,AB,AB,AA,AB,AB,AB,AB,AA,AA,AA,AA,AA,AA,AB,AB,AA,AA,AB,AB,AB,AB,AB,AB,AA,AB,AA,AB,AB,AB,AA,AA,AA,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AA,AA,AB,AA,AB,AA,AA,AA,AB,AB,AA,AA,AA,AB,AB,AB,AB,AA,AA,AB,AA,AA,AA,AB,AA,AB,AB,AA,AB,AA,AB,AB,AB,AA,AB,AB,AA,AA,AA,AB,AA,AA,AB,AB,AA,AB,AB,AA,AA,AB,AB,AB,AB,AA,AA,AB,AA,AA,AB,AB,AA,AB,AA,AA,AB,AA,AA,AB,AB,AB,AA,AB,AB,AA,AB,AA,AA,AA,AA,AA,AB,AB,AB,AB,AA,AB,AB
ND10277,EEMAC,2007,81.6,14.3,1151,51,58,1.52,369,326,-,EEMAC _ 2007,AB,AB,AB,AA,AA,AA,AA,AA,AA,AB,AB,AB,AA,AA,AA,AA,AA,AA,AA,AB,AA,AA,AB,AB,AA,AB,AB,AB,AA,AA,AB,AB,AB,AB,AB,AB,AA,AA,AA,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AB,AA,AA,AA,AA,AB,AA,AA,AB,AA,AB,AB,AA,AB,AA,AA,AA,AB,AA,AA,AA,AB,AA,AA,AB,AB,AA,AB,AB,AB,AA,AB,AA,AA,AA,AB,AB,AA,AB,AB,AB,AA,AA,AA,AB,AB,AA,AA,AB,AB,AB,AA,AA,AA,AA,AB,AB,AB,AB,AA,AB,AB,AA,AB,AB,AA,AA,AB,AA,AB,AB,AB,AA,AA,AB,AB,AB,AA,AA,AA,AA,AB,AA,AB,AB,AA,AA,AB,AB,AB,AB,AA,AB,AB
C9528,EEMAC,2007,80.1,12.4,642,33,62,1.58,269,508,-,EEMAC _ 2007,AB,AB,AB,AA,AA,AB,AA,AA,AA,AB,AB,AB,AA,AA,AA,AA,AA,AB,AA,AA,AB,AB,AA,AA,AA,AB,AB,AB,AA,AA,AB,AB,AB,AB,AB,AB,AA,AA,AA,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AB,AA,AA,AB,AA,AA,AB,AA,AA,AB,AA,AB,AB,AA,AA,AB,AB,AA,AA,AA,AB,AB,AB,AB,AA,AA,AB,AA,AA,AA,AB,AA,AB,AB,AB,AA,AB,AA,AB,AB,AA,AB,AB,AB,AA,AA,AB,AA,AB,AA,AA,AB,AA,AA,AB,AB,AA,AA,AA,AA,AB,AB,AB,AB,AA,AB,AA,AB,AA,AB,AB,AA,AA,AA,AB,AB,AB,AA,AA,AA,AA,AB,AA,AB,AB,AA,AA,AB,AB,AB,AA,AB,AB,AB
CLE232,EEMAC,2007,80.5,12.5,856,44,68,1.56,408,377,-,EEMAC _ 2007,AB,AB,AA,AB,AA,AB,AB,AA,AA,AB,AB,AA,AA,AB,AB,AB,AB,AB,AA,AB,AA,AA,AB,AB,AB,AA,AA,AA,AB,AB,AB,AA,AA,AB,AB,AB,AA,AA,AA,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AB,AA,AB,AB,AB,AB,AA,AA,AA,AA,AA,AB,AB,AB,AB,AA,AB,AA,AB,AA,AB,AB,AA,AB,AA,AA,AA,AA,AB,AA,AA,AA,AB,AB,AA,AB,AB,AA,AB,AA,AB,AB,AA,AB,AB,AA,AA,AA,AB,AA,AB,AA,AA,AB,AA,AA,AB,AB,AA,AB,AA,AB,AA,AA,AA,AA,AA,AB,AA,AB,AA,AB,AB,AA,AA,AA,AB,AB,AB,AA,AB,AB,AA,AB,AA,AA,AA,AA,AA,AB,AB,AB,AB,AA,AB,AB
Danuta,EEMAC,2007,80.6,12.1,887,47,76,1.5,269,240,-,EEMAC _ 2007,AB,AB,AB,AA,AB,AA,AB,AA,AB,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AA,AA,AB,AA,AB,AB,AA,AB,AB,AB,AB,AA,AB,AA,AB,AB,AB,AA,AA,AA,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AA,AA,AB,AA,AB,AB,AA,AB,AB,AB,AA,AA,AA,AB,AB,AB,AB,AA,AA,AB,AA,AA,AA,AB,AA,AB,AB,AA,AB,AA,AB,AB,AB,AA,AB,AB,AB,AA,AA,AB,AB,AB,AA,AA,AB,AA,AA,AB,AB,AA,AB,AA,AB,AA,AA,AB,AA,AA,AB,AA,AB,AA,AB,AB,AA,AA,AA,AB,AB,AB,AA,AA,AA,AA,AB,AA,AB,AA,AA,AA,AB,AA,AB,AA,AB,AA,AA
C8828,EEMAC,2007,80.1,11.9,907,49,75,1.51,400,342,-,EEMAC _ 2007,AB,AB,AB,AA,AB,AA,AB,AA,AB,AA,AA,AA,AA,AB,AA,AA,AA,AA,AA,AA,AB,AB,AA,AA,AA,AB,AB,AB,AB,AB,AA,AB,AA,AB,AB,AB,AA,AA,AA,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AA,AA,AB,AA,AB,AA,AA,AA,AB,AB,AA,AA,AA,AB,AB,AB,AB,AB,AB,AA,AA,AA,AA,AB,AA,AB,AB,AA,AA,AA,AB,AB,AB,AA,AB,AB,AB,AA,AA,AA,AB,AA,AB,AB,AA,AB,AB,AA,AA,AB,AB,AB,AA,AA,AA,AA,AB,AB,AB,AB,AA,AB,AA,AA,AA,AA,AA,AB,AB,AB,AA,AA,AA,AA,AB,AB,AB,AB,AA,AA,AB,AA,AB,AA,AA,AA,AB
C9173,EEMAC,2007,78.4,13.3,695,33,36,1.59,336,786,-,EEMAC _ 2007,AB,AA,AA,AA,AA,AB,AB,AB,AB,AA,AB,AB,AB,AA,AA,AB,AA,AB,AB,AB,AA,AA,AB,AB,AA,AA,AB,AB,AB,AB,AA,AB,AA,AB,AB,AB,AA,AA,AA,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AA,AA,AB,AA,AB,AA,AA,AA,AA,AA,AB,AB,AB,AB,AA,AB,AB,AB,AB,AA,AA,AA,AA,AB,AA,AB,AB,AA,AB,AA,AB,AB,AB,AA,AB,AB,AA,AA,AA,AB,AA,AA,AB,AB,AA,AB,AB,AA,AA,AB,AB,AA,AA,AB,AB,AB,AB,AA,AB,AA,AB,AA,AB,AB,AB,AA,AA,AB,AB,AB,AA,AA,AA,AA,AA,AA,AB,AA,AB,AB,AA,AB,AA,AA,AB,AA,AA
C9616,EEMAC,2007,78.2,13.1,856,42,57,1.54,408,422,-,EEMAC _ 2007,AB,AB,AA,AB,AA,AB,AB,AA,AA,AB,AA,AA,AA,AA,AA,AA,AA,-,AA,AB,AA,AA,AB,AB,AA,AB,AB,AB,AA,AA,AB,AB,AB,AB,AB,AB,AA,AA,AA,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AB,AA,AA,AA,AB,AB,AA,AB,AB,AA,AB,AB,AA,AB,AA,AA,AA,AB,AA,AA,AA,AB,AA,AA,AA,AA,AB,AA,AA,AA,AA,AB,AA,AA,AA,AB,AA,AB,AB,AB,AA,AB,AB,AA,AA,AA,AB,AA,AB,AA,AA,AB,AA,AA,AB,AB,AB,AB,-,AA,AB,AB,AB,AB,AA,AB,AA,AB,AA,AB,AB,AB,AA,AA,AB,AB,AB,AA,AA,AB,AB,AB,AA,AB,AB,AA,AA,AB,AB,AB,AA,AB,AB,AB
